subject,course,period,workload
Planejamento Estratégico,"Sistemas de Informação, Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT), Tecnologia em Redes de Computadores(OPT)",Noturno,68 Horas
Qualidade de Software,"Sistemas de Informação, Tecnologia em Análise e Desenvolvimento de Sistemas, Ciência da Computação(OPT), Engenharia de Computação(OPT), Tecnologia em Redes de Computadores(OPT)",Noturno,68 Horas
Comportamento Organizacional,"Sistemas de Informação, Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT), Tecnologia em Redes de Computadores(OPT)",Noturno,68 Horas
Governança de Tecnologia da Informação,"Sistemas de Informação, Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT), Tecnologia em Redes de Computadores(OPT)",Noturno,68 Horas
Segurança e Auditoria de Sistemas,"Sistemas de Informação, Tecnologia em Análise e Desenvolvimento de Sistemas, Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Tecnologia em Redes de Computadores(OPT)",Noturno,68 Horas
Introdução ao Cálculo,"Tecnologia em Análise e Desenvolvimento de Sistemas, Tecnologia em Redes de Computadores",Noturno,102 Horas
Estatística,Tecnologia em Análise e Desenvolvimento de Sistemas,Noturno,68 Horas
Fundamentos de Redes de Computadores,"Tecnologia em Análise e Desenvolvimento de Sistemas, Tecnologia em Redes de Computadores",Noturno,68 Horas
Fundamentos de Arquitetura de Computadores,"Tecnologia em Análise e Desenvolvimento de Sistemas, Tecnologia em Redes de Computadores",Noturno,68 Horas
Introdução a Sistemas Operacionais,"Tecnologia em Análise e Desenvolvimento de Sistemas, Tecnologia em Redes de Computadores",Noturno,68 Horas
